TimeGenerated,RemoteIP,AccountName,DeviceName,ActionType,LogonType
"Sep 1, 2026 12:38:27 PM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 12:38:27 PM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 12:38:27 PM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 12:38:27 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 12:38:27 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 12:38:49 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:39:03 PM",165.101.40.152,demouser,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:39:04 PM",165.101.40.152,demouser,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:40:19 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:41:19 PM",,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 1, 2026 12:41:19 PM",10.0.8.10,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 1, 2026 12:41:20 PM",-,umfd-2,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 12:41:20 PM",,umfd-2,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 12:41:20 PM",-,dwm-2,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 12:41:20 PM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 12:41:20 PM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 12:41:21 PM",,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 1, 2026 12:41:21 PM",10.0.8.10,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 12:41:21 PM",10.0.8.10,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 1, 2026 12:41:59 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:43:37 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:45:20 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:47:30 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:49:37 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:51:15 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:53:19 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:53:49 PM",165.101.40.152,demouser,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:53:50 PM",165.101.40.152,demouser,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:55:22 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:57:12 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 12:59:11 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:01:21 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:02:45 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:04:24 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:05:18 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:06:04 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:06:57 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:07:44 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:08:35 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:09:50 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:11:51 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:13:19 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:14:31 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:16:12 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:18:19 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:19:06 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:20:17 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:22:33 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:23:42 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:25:41 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:26:52 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:28:25 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:29:28 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:30:14 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:31:20 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:33:10 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:34:51 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:36:05 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:37:17 PM",209.99.185.168,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 1:49:38 PM",,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 1, 2026 1:49:38 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 1, 2026 1:49:39 PM",-,umfd-3,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 1:49:39 PM",,umfd-3,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 1:49:39 PM",-,dwm-3,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 1:49:39 PM",,dwm-3,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 1:49:39 PM",,dwm-3,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 1:49:40 PM",,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 1, 2026 1:49:40 PM",10.0.8.7,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 1:49:40 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 1, 2026 2:09:40 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 1, 2026 2:09:41 PM",-,umfd-4,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 2:09:41 PM",,umfd-4,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 2:09:41 PM",-,dwm-4,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 2:09:41 PM",,dwm-4,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 2:09:41 PM",,dwm-4,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 2:09:42 PM",10.0.8.7,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 2:09:42 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 1, 2026 2:56:31 PM",220.120.49.33,vmdemo,sql-labuser,LogonFailed,Network
"Sep 1, 2026 4:07:19 PM",109.105.210.62,guest,sql-labuser,LogonFailed,Network
"Sep 1, 2026 5:34:26 PM",59.40.83.82,administrator,sql-labuser,LogonFailed,Network
"Sep 1, 2026 5:34:29 PM",,administrator,sql-labuser,LogonSuccess,Network
"Sep 1, 2026 5:34:29 PM",59.40.83.82,administrator,sql-labuser,LogonSuccess,Network
"Sep 1, 2026 5:50:11 PM",45.156.129.115,guest,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:02:32 PM",20.124.91.188,azureuser,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:07:47 PM",20.124.91.188,azureuser,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:13:06 PM",20.124.91.188,azureuser,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:18:26 PM",20.124.91.188,azureuser,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:23:42 PM",20.124.91.188,azureuser,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:29:02 PM",20.124.91.188,azureuser,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:34:16 PM",20.124.91.188,student,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:39:43 PM",20.124.91.188,student,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:45:03 PM",20.124.91.188,student,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:50:17 PM",20.124.91.188,student,sql-labuser,LogonFailed,Network
"Sep 1, 2026 7:55:31 PM",20.124.91.188,student,sql-labuser,LogonFailed,Network
"Sep 1, 2026 8:00:52 PM",20.124.91.188,student,sql-labuser,LogonFailed,Network
"Sep 1, 2026 8:14:25 PM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 8:14:25 PM",,umfd-0,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 8:14:25 PM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 8:14:25 PM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 8:14:25 PM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 8:14:25 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
